inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,school_id_clean,date_clean,has_electricity_clean,has_drinking_water_clean,has_functional_toilet_clean,has_boundary_wall_clean,has_playground_clean,infrastructure_deficit_index
INSP02771,03.02.2026,SCH0339,True,Functional,True,True,False,Rajata Mistry,Toilets locked,SCH0339,,True,True,True,True,False,0.14285714285714285
INSP02097,05.05.2025,sch_0564,na,False,True,True,,Laksh Dugar,Good condition,SCH0564,,,False,True,True,,0.14285714285714285
INSP00135,03-09-2026,SCH-0542,,H,True,False,Working,Jackson Narasimhan,Toilets locked,SCH0542,,,,True,False,True,0.14285714285714285
INSP02846,2026-02-12,SCH0258,False,1,Yes,True,False,Ishanvi Arya,Average,SCH0258,,False,True,True,True,False,0.2857142857142857
INSP02987,24/06/2025,SCH-0131,,1,Y,0,Functional,Kevin Gade,Needs repair,SCH0131,,,True,True,False,True,0.14285714285714285
INSP00103,24/02/2026,0022,haan,True,Y,Yes,True,Netra Ram,Average,SCH0022,,True,True,True,True,True,0.0
INSP00415,05-Nov-2025,SCH0093,True,True,Working,haan,True,Liam Sibal,Average,SCH0093,,True,True,True,True,True,0.0
INSP02697,2026-02-12,sch0122,Yes,1,Yes,False,True,Hritik Naidu,Toilets locked,SCH0122,,True,True,True,False,True,0.14285714285714285
INSP01484,21/12/2025,S0362,Y,Available,Yes,True,Functional,Hamsini Pandya,Toilets locked,SCH0362,,True,,True,True,True,0.0
INSP01188,2025/06/15,sch0005,Nahi hai,na,Yes,Broken,True,Max Shenoy,Toilets locked,SCH0005,2025-06-15,,,True,False,True,0.14285714285714285
INSP01730,2025-10-26,SCH0476,False,1,True,True,0,,Good condition,SCH0476,,False,True,True,True,False,0.2857142857142857
INSP02006,2025/08/02,0075,H,True,Functional,na,Nahi hai,Zashil Hegde,Average,SCH0075,2025-08-02,,True,True,,,0.0
INSP02154,12-Oct-2025,0434,True,0,Functional,True,Under Repair,,No remarks,SCH0434,,True,False,True,True,,0.14285714285714285
INSP02572,28/04/2025,SCH0556,haan,False,True,na,1,Girindra Tiwari,,SCH0556,,True,False,True,,True,0.14285714285714285
INSP01147,30.09.2025,SCH0535,True,Nahi,True,No,False,Vritti Agarwal,No remarks,SCH0535,,True,False,True,False,False,0.42857142857142855
INSP00310,20/02/2026,SCH0037,True,Working,True,True,Under Repair,,,SCH0037,,True,True,True,True,,0.0
INSP02274,2025/12/19,0434,True,1,True,haan,na,Baghyawati Chana,Toilets locked,SCH0434,2025-12-19,True,True,True,True,,0.0
INSP02440,09.01.2026,sch_0458,Broken,True,Y,True,False,Shivansh Trivedi,Toilets locked,SCH0458,,False,True,True,True,False,0.2857142857142857
INSP00193,12.03.2026,SCH0533,False,haan,True,1,Y,Shivansh Tara,No remarks,SCH0533,,False,True,True,True,True,0.14285714285714285
INSP00195,07/12/2025,SCH0346,True,Available,Yes,True,False,Nimrat Hayer,Toilets locked,SCH0346,,True,,True,True,False,0.14285714285714285
INSP00777,18.06.2025,S0058,Yes,False,Working,True,False,Oeshi Pradhan,Needs repair,SCH0058,,True,False,True,True,False,0.2857142857142857
INSP01678,03-24-2026,sch_0263,Working,H,Yes,1,False,Fitan Halder,Toilets locked,SCH0263,,True,,True,True,False,0.14285714285714285
INSP01236,03/11/2025,SCH-0442,N,True,0,False,Nahi hai,,Good condition,SCH0442,,False,True,False,False,,0.42857142857142855
INSP01394,14/09/2025,SCH0261,True,Y,Functional,False,Broken,Yamini Naidu,Needs repair,SCH0261,,True,True,True,False,False,0.2857142857142857
INSP00045,11-04-2025,SCH-0003,Haan,Functional,Broken,1,True,Nicholas Keer,No remarks,SCH0003,,True,True,False,True,True,0.14285714285714285
INSP01765,28.04.2025,S0167,False,True,N,False,False,Zinal Bhavsar,Average,SCH0167,,False,True,False,False,False,0.5714285714285714
INSP00946,2025/06/09,SCH0129,Hai,True,True,False,Haan,Isaac Khatri,,SCH0129,2025-06-09,True,True,True,False,True,0.14285714285714285
INSP02052,18/08/2025,SCH0398,Functional,Y,False,True,0,Peter Mody,No remarks,SCH0398,,True,True,False,True,False,0.2857142857142857
INSP00830,07-20-2025,SCH-0526,True,False,H,Y,False,Yatin Ghose,Toilets locked,SCH0526,,True,False,,True,False,0.2857142857142857
INSP02967,16.09.2025,sch_0153,Not Available,True,True,False,False,Falak Jaggi,Good condition,SCH0153,,,True,True,False,False,0.2857142857142857
INSP02922,2026/02/04,SCH0194,True,H,haan,Yes,0,Isaiah Nagarajan,,SCH0194,2026-02-04,True,,True,True,False,0.14285714285714285
INSP01279,2025/12/13,SCH0475,haan,True,0,True,na,Ekani Oommen,Average,SCH0475,2025-12-13,True,True,False,True,,0.14285714285714285
INSP02900,28.06.2025,S0138,Nahi,Yes,True,True,No,Maya Sastry,,SCH0138,,False,True,True,True,False,0.2857142857142857
INSP02808,30/04/2025,sch_0052,N,True,True,False,True,Vyanjana Badal,Good condition,SCH0052,,False,True,True,False,True,0.2857142857142857
INSP01802,02-28-2026,sch_0364,False,1,True,True,N,Aishani Dhillon,Needs repair,SCH0364,,False,True,True,True,False,0.2857142857142857
INSP00486,06-Sep-2025,SCH0501,,True,Haan,0,Hai,Faras Yohannan,Average,SCH0501,,,True,True,False,True,0.14285714285714285
INSP02372,03-13-2026,SCH0600,True,False,True,True,False,Upkaar Narang,Good condition,SCH0600,,True,False,True,True,False,0.2857142857142857
INSP00443,2025-05-15,SCH0530,Working,Nahi,Haan,Yes,,Gauri Deshmukh,Average,SCH0530,,True,False,True,True,,0.14285714285714285
INSP01642,26.11.2025,SCH0239,True,True,True,,True,Vasudha Jayaraman,Average,SCH0239,,True,True,True,,True,0.0
INSP02598,28/04/2025,SCH0223,Yes,Available,Hai,True,True,Pranav Master,Average,SCH0223,,True,,True,True,True,0.0
INSP01714,05/07/2025,sch0320,False,True,True,True,True,,Good condition,SCH0320,,False,True,True,True,True,0.14285714285714285
INSP02982,26-Sep-2025,SCH-0169,Under Repair,Y,,,True,Sanya Choudhry,Toilets locked,SCH0169,,,True,,,True,0.0
INSP00757,2025-10-22,SCH-0129,Broken,H,Yes,0,True,Bhanumati Sridhar,Needs repair,SCH0129,,False,,True,False,True,0.2857142857142857
INSP01881,2025/04/29,SCH0593,Y,True,haan,True,Nahi,Hemani Chander,No remarks,SCH0593,2025-04-29,True,True,True,True,False,0.14285714285714285
INSP00241,2025-11-09,sch_0360,True,True,Haan,Haan,True,Peter Rajagopalan,Needs repair,SCH0360,,True,True,True,True,True,0.0
INSP02355,01-22-2026,SCH0211,True,True,N,True,True,Alexander Gokhale,,SCH0211,,True,True,False,True,True,0.14285714285714285
INSP01666,2025-12-27,S0199,True,True,False,False,Nahi hai,Diya Saini,,SCH0199,,True,True,False,False,,0.2857142857142857
INSP02431,16.03.2026,0083,True,Working,Haan,False,Haan,Ikshita Dhillon,No remarks,SCH0083,,True,True,True,False,True,0.14285714285714285
INSP01744,02-10-2026,sch_0308,H,Functional,True,0,Hai,Ekansh Bhandari,No remarks,SCH0308,,,True,True,False,True,0.14285714285714285
INSP00140,10.07.2025,SCH0103,True,True,False,1,N,Zaitra Chandran,Good condition,SCH0103,,True,True,False,True,False,0.2857142857142857
INSP00195,07/12/2025,SCH0346,True,Available,Yes,True,False,Nimrat Hayer,Toilets locked,SCH0346,,True,,True,True,False,0.14285714285714285
INSP00347,16/09/2025,sch_0194,,True,False,H,True,Neel Murthy,,SCH0194,,,True,False,,True,0.14285714285714285
INSP01537,2025-10-29,0105,True,Functional,Haan,False,True,Chandran Gopal,,SCH0105,,True,True,True,False,True,0.14285714285714285
INSP00315,13/11/2025,SCH0483,True,Available,Hai,Nahi hai,False,Anvi Tara,Needs repair,SCH0483,,True,,True,,False,0.14285714285714285
INSP01743,2026-02-06,SCH0257,True,True,True,True,Hai,,,SCH0257,,True,True,True,True,True,0.0
INSP00323,02/10/2025,SCH0316,True,True,True,False,na,Raksha Jain,Good condition,SCH0316,,True,True,True,False,,0.14285714285714285
INSP01682,2026-01-07,sch0302,Working,1,Hai,Haan,True,Vaishnavi Rau,Average,SCH0302,,True,True,True,True,True,0.0
INSP01460,09-05-2025,0289,Working,False,True,na,,Charles Bahri,Average,SCH0289,,True,False,True,,,0.14285714285714285
INSP02034,12.01.2026,SCH-0386,Yes,False,0,False,False,Zarna Rau,,SCH0386,,True,False,False,False,False,0.5714285714285714
INSP00257,21/07/2025,sch0408,,Hai,H,True,Functional,Advay Rama,Average,SCH0408,,,True,,True,True,0.0
INSP02300,17.01.2026,SCH0566,,No,True,N,True,Balhaar Wable,Toilets locked,SCH0566,,,False,True,False,True,0.2857142857142857
INSP01732,11/12/2025,SCH0529,True,False,N,True,0,Dalaja Lala,Needs repair,SCH0529,,True,False,False,True,False,0.42857142857142855
INSP02601,01/03/2026,SCH0154,True,Haan,Functional,Nahi hai,na,Vrishti Dugar,Toilets locked,SCH0154,,True,True,True,,,0.0
INSP00204,09/06/2025,SCH-0590,True,Hai,na,1,True,Jacob Mani,No remarks,SCH0590,,True,True,,True,True,0.0
INSP01785,04-03-2025,sch_0488,False,True,True,Not Available,False,Vidhi Om,Good condition,SCH0488,,False,True,True,,False,0.2857142857142857
INSP00299,14/12/2025,sch0599,Nahi,True,H,No,False,Odika Bhandari,,SCH0599,,False,True,,False,False,0.42857142857142855
INSP00052,2025-12-07,SCH-0320,False,True,Yes,Nahi,Kharab,Daksha Kapadia,Good condition,SCH0320,,False,True,True,False,False,0.42857142857142855
INSP00215,2025-05-19,SCH0419,True,True,True,Kharab,No,Ikbal Nagy,Needs repair,SCH0419,,True,True,True,False,False,0.2857142857142857
INSP00064,03.03.2026,SCH0051,Working,Haan,Functional,False,Nahi,Forum Choudhary,Toilets locked,SCH0051,,True,True,True,False,False,0.2857142857142857
INSP02497,23.02.2026,SCH0004,Y,True,Haan,Y,False,Ayushman Vyas,Needs repair,SCH0004,,True,True,True,True,False,0.14285714285714285
INSP02801,05/08/2025,SCH-0473,Nahi hai,na,N,True,True,Lavanya Thaker,Needs repair,SCH0473,,,,False,True,True,0.14285714285714285
INSP01358,11-12-2025,SCH0527,True,Nahi,Yes,False,False,Ojasvi Chad,Toilets locked,SCH0527,,True,False,True,False,False,0.42857142857142855
INSP00300,2025-04-13,sch_0443,False,Haan,Hai,N,True,Yauvani Narang,Toilets locked,SCH0443,,False,True,True,False,True,0.2857142857142857
INSP00433,27-Aug-2025,SCH0523,Working,Functional,Functional,Y,Yes,Viraj Munshi,Toilets locked,SCH0523,,True,True,True,True,True,0.0
INSP01101,02-26-2026,sch0512,False,Haan,Hai,0,Yes,Abdul Dayal,Average,SCH0512,,False,True,True,False,True,0.2857142857142857
INSP00053,2025-04-05,SCH0112,True,True,Yes,Haan,False,Lipika Agarwal,Needs repair,SCH0112,,True,True,True,True,False,0.14285714285714285
INSP01227,29/06/2025,SCH0398,True,False,,True,True,Isaiah Mangat,,SCH0398,,True,False,,True,True,0.14285714285714285
INSP00795,2025/10/20,0458,N,1,H,True,,Caleb Pandya,No remarks,SCH0458,2025-10-20,False,True,,True,,0.14285714285714285
INSP02078,10-15-2025,SCH0542,na,True,Yes,No,False,Raghav Bakshi,Average,SCH0542,,,True,True,False,False,0.2857142857142857
INSP01252,22-Oct-2025,SCH-0450,True,Yes,Yes,False,False,Dev Sawhney,Average,SCH0450,,True,True,True,False,False,0.2857142857142857
INSP01075,2025/09/03,sch_0176,False,Yes,False,True,False,Oviya Sidhu,Average,SCH0176,2025-09-03,False,True,False,True,False,0.42857142857142855
INSP02378,2025/07/03,SCH-0441,Available,Working,True,True,Nahi,Manthan Bora,,SCH0441,2025-07-03,,True,True,True,False,0.14285714285714285
INSP01588,2025-12-12,SCH0440,Available,Available,Functional,True,H,Yatin Mander,Toilets locked,SCH0440,,,,True,True,,0.0
INSP01289,2025-10-31,sch0546,True,True,1,True,True,Brijesh Natarajan,Toilets locked,SCH0546,,True,True,True,True,True,0.0
INSP01675,2025/08/26,sch_0035,1,H,True,True,,Rachana Vaidya,No remarks,SCH0035,2025-08-26,True,,True,True,,0.0
INSP02133,12-Jan-2026,SCH0367,Available,False,True,Under Repair,Nahi,Krishna Viswanathan,Toilets locked,SCH0367,,,False,True,,False,0.2857142857142857
INSP01448,2026-03-03,sch_0422,True,1,True,,False,Isaac Pall,Average,SCH0422,,True,True,True,,False,0.14285714285714285
INSP02897,14.10.2025,sch_0263,Y,Yes,False,False,False,Idika Muni,No remarks,SCH0263,,True,True,False,False,False,0.42857142857142855
INSP00071,2025/08/20,0047,Hai,,True,False,N,Advaith Ghosh,No remarks,SCH0047,2025-08-20,True,,True,False,False,0.2857142857142857
INSP00643,30/03/2026,sch0506,Working,Functional,Working,1,True,Anjali Lalla,No remarks,SCH0506,,True,True,True,True,True,0.0
INSP02543,04-Mar-2026,SCH0164,False,Haan,Y,False,Working,Quincy Ramaswamy,No remarks,SCH0164,,False,True,True,False,True,0.2857142857142857
INSP00945,11/12/2025,SCH0073,Yes,True,Y,No,H,Omaja Ghose,Toilets locked,SCH0073,,True,True,True,False,,0.14285714285714285
INSP02852,2026-01-11,SCH0050,1,Hai,Yes,,N,Hardik Venkatesh,,SCH0050,,True,True,True,,False,0.14285714285714285
INSP02539,2025-04-21,SCH0131,True,,Hai,True,1,Jeet Swaminathan,,SCH0131,,True,,True,True,True,0.0
INSP01106,13/04/2025,SCH0254,True,,True,1,na,,No remarks,SCH0254,,True,,True,True,,0.0
INSP01175,2025-04-22,SCH0422,Broken,na,True,Nahi hai,Kharab,Amaira Tara,Average,SCH0422,,False,,True,,False,0.2857142857142857
INSP02670,2025-08-10,sch0525,0,H,Broken,True,Under Repair,Krish Kala,,SCH0525,,False,,False,True,,0.2857142857142857
INSP01757,25-Apr-2025,sch_0354,,Yes,True,True,True,Siya Kashyap,,SCH0354,,,True,True,True,True,0.0
INSP00479,2025-07-09,SCH0535,True,N,True,Nahi hai,,Eiravati Buch,Toilets locked,SCH0535,,True,False,True,,,0.14285714285714285
INSP02178,03-01-2026,S0160,haan,True,False,na,True,Madhav Rattan,Needs repair,SCH0160,,True,True,False,,True,0.14285714285714285
INSP02429,14/06/2025,0291,True,Y,False,True,False,Ekantika Nath,Needs repair,SCH0291,,True,True,False,True,False,0.2857142857142857
INSP00730,10-09-2025,SCH-0305,Y,False,Y,H,N,Eshana Dey,Needs repair,SCH0305,,True,False,True,,False,0.2857142857142857
INSP01761,2025/07/18,S0564,Nahi hai,Y,Yes,H,,Tanveer Reddy,Average,SCH0564,2025-07-18,,True,True,,,0.0
INSP02282,30/10/2025,SCH0168,True,True,haan,False,Functional,Yug Sur,Average,SCH0168,,True,True,True,False,True,0.14285714285714285
INSP00290,12-28-2025,S0416,,True,,1,True,Warjas Vala,,SCH0416,,,True,,True,True,0.0
INSP01092,23/12/2025,SCH0532,Yes,True,True,False,Y,Balendra Warrior,Needs repair,SCH0532,,True,True,True,False,True,0.14285714285714285
INSP01420,2025-05-01,sch0040,False,Y,haan,True,,Darsh Nori,Needs repair,SCH0040,,False,True,True,True,,0.14285714285714285
INSP00451,2025-07-15,0490,True,True,N,Nahi hai,na,Qushi Tella,Average,SCH0490,,True,True,False,,,0.14285714285714285
INSP02443,02-23-2026,sch0473,1,,True,Yes,,Chavvi Pradhan,,SCH0473,,True,,True,True,,0.0
INSP00808,02.07.2025,SCH0493,Working,Nahi,False,haan,,Azaan Basak,,SCH0493,,True,False,False,True,,0.2857142857142857
INSP00464,30-Jun-2025,SCH0227,True,1,Hai,Available,Nahi,Bhavya Doshi,Average,SCH0227,,True,True,True,,False,0.14285714285714285
INSP02529,2025-07-19,SCH0041,Yes,Available,No,True,1,Advik Raja,Needs repair,SCH0041,,True,,False,True,True,0.14285714285714285
INSP02699,12-03-2025,SCH-0482,Haan,True,False,True,False,,,SCH0482,,True,True,False,True,False,0.2857142857142857
INSP00568,31.03.2026,0043,1,H,False,False,Nahi,Edhitha Srivastava,Needs repair,SCH0043,,True,,False,False,False,0.42857142857142855
INSP01611,11/06/2025,SCH0493,True,Available,True,H,True,Zehaan Virk,Needs repair,SCH0493,,True,,True,,True,0.0
INSP00077,2025-08-18,SCH0186,No,Not Available,H,True,False,Aachal Chandra,Good condition,SCH0186,,False,,,True,False,0.2857142857142857
INSP00332,20-Aug-2025,SCH-0450,1,True,True,True,haan,Fiyaz Chanda,Average,SCH0450,,True,True,True,True,True,0.0
INSP00612,2026/03/17,SCH0327,True,True,Hai,0,,Geetika Raman,,SCH0327,2026-03-17,True,True,True,False,,0.14285714285714285
INSP01074,10/12/2025,S0265,Nahi hai,Available,Haan,H,Kharab,Tanvi Wagle,Toilets locked,SCH0265,,,,True,,False,0.14285714285714285
INSP00145,22/11/2025,sch_0215,No,True,True,True,Kharab,Yachana Mangat,Toilets locked,SCH0215,,False,True,True,True,False,0.2857142857142857
INSP00786,13/02/2026,SCH0313,na,False,Not Available,True,True,Zarna Bhargava,No remarks,SCH0313,,,False,,True,True,0.14285714285714285
INSP00046,14-Nov-2025,S0280,True,H,True,Y,No,Naksh Ray,Good condition,SCH0280,,True,,True,True,False,0.14285714285714285
INSP02908,12-Jun-2025,SCH0248,True,True,Nahi hai,True,False,Bhavani Gaba,Toilets locked,SCH0248,,True,True,,True,False,0.14285714285714285
INSP00344,01-06-2026,SCH-0451,Y,1,1,Working,True,Ganga Korpal,Toilets locked,SCH0451,,True,True,True,True,True,0.0
INSP02171,2025-11-27,S0171,True,True,False,False,False,Anirudh Muni,Good condition,SCH0171,,True,True,False,False,False,0.42857142857142855
INSP01560,06.09.2025,0554,True,True,True,False,No,,Needs repair,SCH0554,,True,True,True,False,False,0.2857142857142857
INSP00545,02-Jun-2025,SCH-0302,False,H,True,True,True,Ishanvi Wason,Needs repair,SCH0302,,False,,True,True,True,0.14285714285714285
INSP01024,11/08/2025,SCH0428,True,Y,Hai,True,Y,Rehaan Ahluwalia,No remarks,SCH0428,,True,True,True,True,True,0.0
INSP00153,15.10.2025,sch0540,True,H,Y,Yes,True,Geetika Kulkarni,,SCH0540,,True,,True,True,True,0.0
INSP01981,2025/05/03,sch_0499,True,1,True,0,False,,Toilets locked,SCH0499,2025-05-03,True,True,True,False,False,0.2857142857142857
INSP01323,2025-09-07,SCH0264,Haan,Functional,H,Yes,False,Triya Dutta,No remarks,SCH0264,,True,True,,True,False,0.14285714285714285
INSP01019,06-06-2025,sch_0303,Available,True,True,haan,Under Repair,Vedant Hayer,No remarks,SCH0303,,,True,True,True,,0.0
INSP02182,2026-01-29,SCH0248,Haan,Working,True,False,True,Krisha Mital,Good condition,SCH0248,,True,True,True,False,True,0.14285714285714285
INSP00001,2025-09-22,0087,True,True,True,haan,,Ira Ranganathan,Good condition,SCH0087,,True,True,True,True,,0.0
INSP01463,2025-06-28,S0247,Nahi,Working,0,True,True,Alexander Garde,Needs repair,SCH0247,,False,True,False,True,True,0.2857142857142857
INSP00622,2025/10/05,sch_0089,False,True,True,False,False,Girish Batta,Average,SCH0089,2025-10-05,False,True,True,False,False,0.42857142857142855
INSP00409,17.04.2025,sch_0069,H,True,True,Nahi,Working,Vaishnavi Sarkar,No remarks,SCH0069,,,True,True,False,True,0.14285714285714285
INSP02837,06-04-2025,sch0424,False,Under Repair,Nahi,False,Under Repair,Gabriel Biswas,Average,SCH0424,,False,,False,False,,0.42857142857142855
INSP01967,30/08/2025,SCH0105,True,na,Y,False,False,Yoshita Sridhar,Toilets locked,SCH0105,,True,,True,False,False,0.2857142857142857
INSP02845,11-29-2025,SCH0341,True,True,True,True,True,Parth Bawa,Average,SCH0341,,True,True,True,True,True,0.0
INSP01622,2026-03-15,SCH0546,True,True,False,Nahi,Y,Chaman Dubey,,SCH0546,,True,True,False,False,True,0.2857142857142857
INSP01367,2025/12/21,sch0078,True,Functional,Hai,True,Hai,Suhani Viswanathan,Good condition,SCH0078,2025-12-21,True,True,True,True,True,0.0
INSP00888,21/08/2025,sch_0179,No,Nahi hai,True,,na,Niharika Subramaniam,,SCH0179,,False,,True,,,0.14285714285714285
INSP01845,05-20-2025,SCH-0105,True,Working,True,True,Under Repair,Wridesh Patil,,SCH0105,,True,True,True,True,,0.0
INSP00033,2025/06/24,SCH-0323,Working,True,True,Yes,1,Urvi Dani,,SCH0323,2025-06-24,True,True,True,True,True,0.0
INSP00212,22/05/2025,SCH0080,Working,True,Available,False,False,Daksh Vora,Good condition,SCH0080,,True,True,,False,False,0.2857142857142857
INSP02551,2025/12/20,sch_0186,True,True,Working,1,Kharab,David Cheema,Toilets locked,SCH0186,2025-12-20,True,True,True,True,False,0.14285714285714285
INSP00015,2025-04-05,SCH0124,True,True,False,H,Y,Yashoda Jani,Average,SCH0124,,True,True,False,,True,0.14285714285714285
INSP00094,28-Oct-2025,SCH0234,Y,na,True,No,True,Ekapad Rattan,Needs repair,SCH0234,,True,,True,False,True,0.14285714285714285
INSP01256,30.08.2025,SCH0037,H,True,True,haan,True,Manya Mody,No remarks,SCH0037,,,True,True,True,True,0.0
INSP01398,2025-11-05,sch_0517,1,haan,haan,Nahi,False,Wahab Patil,Toilets locked,SCH0517,,True,True,True,False,False,0.2857142857142857
INSP02819,2025-11-10,SCH-0116,True,True,False,,Hai,,Good condition,SCH0116,,True,True,False,,True,0.14285714285714285
